925,18,MUJER,PRINCIPAL,Santa Fe,DISPARO DE BALA -,10/06/2017,
924,10,MUJER,VINCULADO,Neuquen,DISPARO DE BALA -,08/06/2017,
922,29,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,12/06/2017,
921,3,HOMBRE,VINCULADO,Salta,ENVENENAMIENTO -,05/06/2017,
921,26,MUJER,PRINCIPAL,Salta,ENVENENAMIENTO -,05/06/2017,
919,,MUJER,PRINCIPAL,Córdoba,GOLPES - DESCUARTIZAMIENTO -,28/05/2017,
918,40,MUJER,PRINCIPAL,Santiago del Estero,APUÑALAMIENTO -,01/06/2017,
917,35,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,28/05/2017,
916,22,MUJER,PRINCIPAL,Salta,ESTRANGULAMIENTO -,27/05/2017,
915,36,MUJER,PRINCIPAL,Buenos Aires,GOLPES -,23/03/2017,
914,21,,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,23/05/2017,
913,,MUJER,PRINCIPAL,,GOLPES -,,
912,52,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,16/05/2017,
911,50,MUJER,PRINCIPAL,Ciudad de Buenos Aires,ACUCHILLAMIENTO -,14/12/2015,
910,50,MUJER,PRINCIPAL,Chaco,DEGOLLAMIENTO -,14/05/2017,
909,36,MUJER,PRINCIPAL,Catamarca,ACUCHILLAMIENTO -,14/05/2017,
908,12,MUJER,PRINCIPAL,San Luis,ESTRANGULAMIENTO - ABUSO SEXUAL -,26/03/2017,
907,,MUJER,PRINCIPAL,Buenos Aires,AHORCAMIENTO -,07/05/2017,
906,17,MUJER,PRINCIPAL,Córdoba,ATROPELLAMIENTO -,26/04/2017,
905,17,MUJER,PRINCIPAL,Tucuman,QUEMADURAS -,06/05/2017,
904,50,MUJER,PRINCIPAL,Córdoba,ACUCHILLAMIENTO -,09/05/2017,
903,34,MUJER,PRINCIPAL,Mendoza,ESTRANGULAMIENTO -,19/09/2016,
902,22,,PRINCIPAL,Jujuy,QUEMADURAS -,04/05/2017,
901,18,,PRINCIPAL,Chaco,ACUCHILLAMIENTO -,23/02/2017,
900,29,MUJER,PRINCIPAL,Santa Fe,ACUCHILLAMIENTO -,05/05/2017,
899,15,,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,04/05/2017,
898,1,MUJER,PRINCIPAL,Mendoza,ATROPELLAMIENTO -,27/04/2017,
897,18,,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,11/02/2017,
896,15,MUJER,PRINCIPAL,Salta,ACUCHILLAMIENTO -,29/04/2017,
895,,MUJER,PRINCIPAL,Santiago del Estero,ACUCHILLAMIENTO -,28/04/2017,
894,22,MUJER,PRINCIPAL,Buenos Aires,DESCUARTIZAMIENTO -,02/04/2017,
893,21,MUJER,PRINCIPAL,Córdoba,ESTRANGULAMIENTO -,22/04/2017,
892,23,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,01/11/2017,
891,35,MUJER,PRINCIPAL,Santa Fe,GOLPES -,19/04/2017,
890,40,MUJER,PRINCIPAL,Mendoza,DESCUARTIZAMIENTO -,21/04/2017,
889,52,MUJER,PRINCIPAL,Mendoza,AHORCAMIENTO -,23/04/2017,
888,,MUJER,PRINCIPAL,Tucuman,ACUCHILLAMIENTO -,23/04/2017,
887,44,MUJER,PRINCIPAL,Corrientes,ACUCHILLAMIENTO - GOLPES -,16/03/2015,
886,41,MUJER,PRINCIPAL,Santa Fe,DISPARO DE BALA -,17/04/2017,
885,29,MUJER,PRINCIPAL,Santa Fe,ACUCHILLAMIENTO -,16/04/2017,
884,,MUJER,PRINCIPAL,Buenos Aires,ABUSO SEXUAL -,15/04/2017,
883,3,MUJER,PRINCIPAL,Buenos Aires,GOLPES - ABUSO SEXUAL -,11/04/2017,
882,48,MUJER,PRINCIPAL,Buenos Aires,DEGOLLAMIENTO -,20/04/2017,
881,49,MUJER,PRINCIPAL,Santa Fe,ACUCHILLAMIENTO -,13/04/2017,
880,27,MUJER,PRINCIPAL,Misiones,ACUCHILLAMIENTO -,17/04/2017,
877,19,,PRINCIPAL,Corrientes,ABUSO SEXUAL -,13/01/2016,
876,,HOMBRE,VINCULADO,Córdoba,ACUCHILLAMIENTO -,24/05/2016,
875,56,MUJER,PRINCIPAL,Buenos Aires,DESCUARTIZAMIENTO -,09/04/2017,
874,43,MUJER,PRINCIPAL,Santiago del Estero,ACUCHILLAMIENTO -,14/04/2017,
873,16,,PRINCIPAL,Tucuman,ABUSO SEXUAL -,14/04/2017,
872,10,MUJER,PRINCIPAL,Corrientes,ABUSO SEXUAL -,04/04/2017,
871,,HOMBRE,VINCULADO,Rio Negro,ACUCHILLAMIENTO -,07/11/2015,
870,43,,PRINCIPAL,Santa Fe,GOLPES -,09/04/2017,
869,,,VINCULADO,Rio Negro,ACUCHILLAMIENTO -,29/10/2016,
868,19,MUJER,PRINCIPAL,Córdoba,Sin datos,08/04/2017,
867,30,MUJER,PRINCIPAL,Buenos Aires,GOLPES -,22/03/2017,
866,21,MUJER,PRINCIPAL,Entre Rios,ESTRANGULAMIENTO -,01/04/2017,
865,,MUJER,PRINCIPAL,Santiago del Estero,GOLPES -,01/06/2014,
864,16,MUJER,PRINCIPAL,Misiones,ESTRANGULAMIENTO -,02/04/2017,
863,,,PRINCIPAL,Buenos Aires,GOLPES -,27/08/2014,
862,22,,PRINCIPAL,Salta,Sin datos,01/03/2017,
861,,MUJER,PRINCIPAL,Buenos Aires,Sin datos,31/03/2017,
860,43,MUJER,PRINCIPAL,Buenos Aires,GOLPES -,30/03/2017,
859,42,MUJER,PRINCIPAL,La Rioja,APUÑALAMIENTO -,30/03/2017,
858,,MUJER,PRINCIPAL,Buenos Aires,DESBARRANCAMIENTO -,27/03/2017,
857,31,MUJER,PRINCIPAL,Jujuy,ESTRANGULAMIENTO -,22/03/2017,
856,,MUJER,PRINCIPAL,La Pampa,DEGOLLAMIENTO -,22/11/2016,
855,12,,PRINCIPAL,San Luis,ESTRANGULAMIENTO -,22/03/2017,
854,36,MUJER,PRINCIPAL,Buenos Aires,ESTRANGULAMIENTO -,21/03/2017,
853,16,MUJER,PRINCIPAL,San Luis,Sin datos,19/03/2017,
852,50,MUJER,PRINCIPAL,Jujuy,Sin datos,21/03/2017,
851,28,MUJER,PRINCIPAL,Córdoba,ACUCHILLAMIENTO -,30/11/2016,
850,17,MUJER,PRINCIPAL,Salta,,18/03/2017,
849,22,MUJER,PRINCIPAL,Buenos Aires,,20/03/2017,
848,26,MUJER,PRINCIPAL,,,,
