numero,edad,identidad_genero,tipo_victima,lugar_hecho,modalidad_comisiva,fecha_hecho
329,11,S/D,PRINCIPAL,Chubut,OTROS - ESTRANGULAMIENTO,02/09/2013
327,28,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,06/05/2014
326,41,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,28/05/2014
325,55,MUJER,PRINCIPAL,La Pampa,DISPARO DE BALA,14/12/2014
324,27,MUJER,PRINCIPAL,La Pampa,GOLPES,19/08/2014
323,30,MUJER,PRINCIPAL,Formosa,ACUCHILLAMIENTO,10/11/2013
322,29,MUJER,PRINCIPAL,Ciudad de Buenos Aires,DISPARO DE BALA,09/10/2014
321,21,MUJER,PRINCIPAL,S/D,ACUCHILLAMIENTO,08/03/2013
319,35,MUJER,PRINCIPAL,S/D,GOLPES,06/10/2013
317,17,MUJER,PRINCIPAL,Corrientes,S/D,18/03/2015
316,S/D,MUJER,PRINCIPAL,Buenos Aires,S/D,10/02/2014
315,31,MUJER,PRINCIPAL,Misiones,QUEMADURAS,13/01/2015
314,18,MUJER,PRINCIPAL,S/D,ASFIXIA,09/12/2014
313,46,MUJER,PRINCIPAL,Entre Rios,DISPARO DE BALA,07/02/2015
312,25,MUJER,PRINCIPAL,Buenos Aires,ESTRANGULAMIENTO,07/03/2014
311,40,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,14/11/2014
310,47,MUJER,PRINCIPAL,Rio Negro,DISPARO DE BALA - GOLPES,20/11/2014
309,32,TRAVESTI,PRINCIPAL,Tierra del Fuego,ACUCHILLAMIENTO,12/05/2013
308,16,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,21/04/2015
307,31,TRAVESTI,PRINCIPAL,Salta,GOLPES,24/12/2014
304,16,MUJER,VINCULADO,Corrientes,S/D,03/06/2015
303,63,MUJER,PRINCIPAL,Buenos Aires,GOLPES,13/01/2013
302,25,MUJER,PRINCIPAL,Ciudad de Buenos Aires,ACUCHILLAMIENTO,03/09/2014
300,50,MUJER,PRINCIPAL,Santiago del Estero,ACUCHILLAMIENTO,10/08/2014
299,43,MUJER,PRINCIPAL,Santiago del Estero,GOLPES,24/06/2014
298,26,MUJER,PRINCIPAL,Santiago del Estero,ACUCHILLAMIENTO,15/06/2014
297,36,MUJER,PRINCIPAL,Santiago del Estero,GOLPES,23/05/2014
296,43,MUJER,PRINCIPAL,Santiago del Estero,GOLPES,13/03/2014
295,43,MUJER,PRINCIPAL,Santiago del Estero,DISPARO DE BALA,07/03/2014
294,43,MUJER,PRINCIPAL,Santiago del Estero,ACUCHILLAMIENTO,19/02/2014
293,18,MUJER,PRINCIPAL,Santiago del Estero,ACUCHILLAMIENTO,25/01/2015
292,23,MUJER,PRINCIPAL,Santiago del Estero,QUEMADURAS,10/01/2014
291,53,S/D,PRINCIPAL,Santiago del Estero,DISPARO DE BALA,21/10/2013
290,19,S/D,PRINCIPAL,Santiago del Estero,ACUCHILLAMIENTO,19/10/2013
289,17,MUJER,PRINCIPAL,Santiago del Estero,GOLPES,30/10/2013
288,41,MUJER,PRINCIPAL,Santiago del Estero,ACUCHILLAMIENTO,27/07/2013
287,29,MUJER,PRINCIPAL,Santiago del Estero,ACUCHILLAMIENTO,01/06/2013
286,69,MUJER,PRINCIPAL,Ciudad de Buenos Aires,ESTRANGULAMIENTO - ASFIXIA,26/12/2013
285,34,S/D,PRINCIPAL,Santiago del Estero,DISPARO DE BALA,28/04/2013
284,42,MUJER,PRINCIPAL,S/D,S/D,S/D
282,55,MUJER,PRINCIPAL,Santiago del Estero,DISPARO DE BALA,21/04/2013
281,22,MUJER,PRINCIPAL,Santiago del Estero,DISPARO DE BALA,11/02/2013
279,17,MUJER,PRINCIPAL,Chaco,OTROS - ESTRANGULAMIENTO - GOLPES,17/06/2015
277,29,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,08/04/2015
273,43,MUJER,PRINCIPAL,Corrientes,DISPARO DE BALA,14/02/2014
276,39,MUJER,PRINCIPAL,Corrientes,ACUCHILLAMIENTO,18/06/2015
275,71,MUJER,PRINCIPAL,Chaco,OTROS - GOLPES,22/04/2015
274,40,MUJER,PRINCIPAL,Chaco,ACUCHILLAMIENTO,01/04/2015
272,25,MUJER,PRINCIPAL,Chaco,ASFIXIA,01/01/2015
271,22,MUJER,PRINCIPAL,San Luis,DISPARO DE BALA,29/03/2015
270,22,MUJER,PRINCIPAL,Chaco,DISPARO DE BALA,13/10/2014
268,74,MUJER,PRINCIPAL,S/D,DISPARO DE BALA,12/05/2015
269,43,MUJER,PRINCIPAL,Chaco,DISPARO DE BALA,11/10/2014
267,18,MUJER,PRINCIPAL,Chaco,ACUCHILLAMIENTO,08/09/2014
265,12,MUJER,PRINCIPAL,Buenos Aires,ESTRANGULAMIENTO - ASFIXIA ,23/02/2014
266,S/D,MUJER,PRINCIPAL,Chaco,OTROS - GOLPES ,07/07/2014
264,28,S/D,PRINCIPAL,Chaco,GOLPES ,03/05/2014
263,18,MUJER,PRINCIPAL,Chaco,S/D,30/04/2014
262,23,MUJER,PRINCIPAL,S/D,S/D,S/D
261,20,MUJER,PRINCIPAL,Catamarca,ESTRANGULAMIENTO - GOLPES ,04/10/2013
260,50,TRAVESTI,PRINCIPAL,Chaco,GOLPES,23/04/2014
259,25,MUJER,PRINCIPAL,Chaco,DISPARO DE BALA,16/04/2014
258,23,MUJER,PRINCIPAL,Chaco,ESTRANGULAMIENTO,20/02/2014
257,21,MUJER,PRINCIPAL,S/D,ACUCHILLAMIENTO,14/08/2014
256,48,MUJER,PRINCIPAL,Santa Cruz,ASFIXIA,25/10/2014
255,17,MUJER,PRINCIPAL,Chaco,DISPARO DE BALA,24/01/2014
254,27,MUJER,PRINCIPAL,Chaco,ACUCHILLAMIENTO,13/01/2014
253,S/D,MUJER,PRINCIPAL,Chaco,ACUCHILLAMIENTO,01/11/2013
252,41,MUJER,VINCULADO,Chaco,ACUCHILLAMIENTO,26/10/2013
252,21,MUJER,PRINCIPAL,Chaco,ACUCHILLAMIENTO,26/10/2013
251,19,MUJER,PRINCIPAL,Chaco,ACUCHILLAMIENTO,14/10/2013
250,41,MUJER,PRINCIPAL,Chaco,DISPARO DE BALA,02/09/2013
249,34,MUJER,PRINCIPAL,Chaco,DISPARO DE BALA,17/02/2013
248,16,MUJER,PRINCIPAL,Salta,ASFIXIA - ASFIXIA,03/08/2015
247,14,MUJER,PRINCIPAL,S/D,ESTRANGULAMIENTO,21/08/2014
246,56,MUJER,PRINCIPAL,Mendoza,ACUCHILLAMIENTO,15/05/2015
244,33,S/D,PRINCIPAL,Mendoza,ACUCHILLAMIENTO,19/06/2014
241,S/D,MUJER,PRINCIPAL,S/D,S/D,S/D
243,69,MUJER,PRINCIPAL,Mendoza,OTROS - ACUCHILLAMIENTO,09/05/2014
240,20,MUJER,PRINCIPAL,Santa Cruz,ACUCHILLAMIENTO,25/01/2015
242,37,MUJER,PRINCIPAL,Mendoza,DISPARO DE BALA,16/01/2013
239,34,MUJER,PRINCIPAL,Salta,GOLPES - ACUCHILLAMIENTO,04/12/2014
238,32,MUJER,PRINCIPAL,Santa Fe,APUÑALAMIENTO,19/01/2013
237,18,MUJER,PRINCIPAL,Santa Fe,DISPARO DE BALA,02/11/2014
236,36,MUJER,PRINCIPAL,S/D,S/D,31/03/2013
235,63,MUJER,PRINCIPAL,Salta,GOLPES - ACUCHILLAMIENTO,20/01/2015
234,19,MUJER,PRINCIPAL,Rio Negro,ATROPELLAMIENTO - GOLPES,21/09/2014
233,21,MUJER,PRINCIPAL,Neuquen,DISPARO DE BALA,17/01/2013
232,48,MUJER,PRINCIPAL,Corrientes,APUÑALAMIENTO - DEGOLLAMIENTO,01/05/2013
231,30,MUJER,PRINCIPAL,San Luis,GOLPES,29/07/2015
230,30,MUJER,PRINCIPAL,S/D,DISPARO DE BALA,25/03/2013
229,12,MUJER,PRINCIPAL,Misiones,OTROS - ESTRANGULAMIENTO,22/04/2015
228,16,MUJER,PRINCIPAL,Misiones,ACUCHILLAMIENTO,07/04/2015
227,48,MUJER,PRINCIPAL,Misiones,ACUCHILLAMIENTO,23/03/2015
226,40,MUJER,PRINCIPAL,Misiones,QUEMADURAS - GOLPES,06/01/2015
224,23,MUJER,PRINCIPAL,Mendoza,GOLPES,03/08/2014
222,52,MUJER,PRINCIPAL,Misiones,DISPARO DE BALA - GOLPES,29/12/2014
221,44,MUJER,PRINCIPAL,Misiones,GOLPES - ACUCHILLAMIENTO,18/12/2014
220,1,MUJER,PRINCIPAL,S/D,GOLPES,10/06/2015
219,23,MUJER,PRINCIPAL,Misiones,ESTRANGULAMIENTO - DISPARO DE BALA,08/11/2014
218,14,S/D,PRINCIPAL,Rio Negro,ESTRANGULAMIENTO,24/10/2014
217,24,MUJER,PRINCIPAL,Misiones,ESTRANGULAMIENTO - ASFIXIA,18/10/2014
216,56,MUJER,PRINCIPAL,Misiones,ACUCHILLAMIENTO,04/05/2014
215,17,S/D,PRINCIPAL,Misiones,DISPARO DE BALA,09/03/2014
214,24,MUJER,PRINCIPAL,Misiones,GOLPES,08/03/2014
213,54,MUJER,PRINCIPAL,Misiones,DISPARO DE BALA,29/01/2014
212,29,MUJER,PRINCIPAL,S/D,GOLPES,13/03/2014
211,24,MUJER,PRINCIPAL,S/D,OTROS,17/08/2014
209,23,MUJER,PRINCIPAL,Santiago del Estero,ACUCHILLAMIENTO,12/06/2015
208,19,MUJER,PRINCIPAL,Misiones,GOLPES,30/12/2013
206,27,MUJER,PRINCIPAL,Misiones,ESTRANGULAMIENTO - GOLPES,22/11/2013
204,41,MUJER,PRINCIPAL,Santiago del Estero,ACUCHILLAMIENTO,13/03/2013
205,27,MUJER,PRINCIPAL,Misiones,DISPARO DE BALA,17/10/2013
205,25,MUJER,VINCULADO,Misiones,DISPARO DE BALA,17/10/2013
203,29,MUJER,PRINCIPAL,Misiones,ACUCHILLAMIENTO,21/09/2013
202,24,MUJER,PRINCIPAL,Misiones,DISPARO DE BALA,15/09/2013
201,21,MUJER,PRINCIPAL,Misiones,DISPARO DE BALA,06/04/2013
200,24,MUJER,PRINCIPAL,Misiones,OTROS - QUEMADURAS - GOLPES,06/04/2013
199,35,MUJER,PRINCIPAL,Rio Negro,ACUCHILLAMIENTO,20/04/2014
198,47,MUJER,PRINCIPAL,S/D,DISPARO DE BALA,27/07/2015
197,47,MUJER,PRINCIPAL,Misiones,S/D,14/02/2013
196,40,MUJER,PRINCIPAL,Misiones,GOLPES - ACUCHILLAMIENTO,13/01/2013
195,7,S/D,PRINCIPAL,Misiones,OTROS,09/01/2013
193,23,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,30/07/2015
191,34,MUJER,PRINCIPAL,Santiago del Estero,ACUCHILLAMIENTO,26/07/2015
190,13,S/D,PRINCIPAL,Jujuy,S/D,19/07/2015
189,19,MUJER,PRINCIPAL,Buenos Aires,OTROS,14/02/2013
188,25,MUJER,PRINCIPAL,Buenos Aires,OTROS,19/06/2015
187,34,TRAVESTI,PRINCIPAL,Córdoba,ASFIXIA,27/07/2015
186,20,MUJER,PRINCIPAL,Ciudad de Buenos Aires,DISPARO DE BALA,24/07/2015
185,24,MUJER,PRINCIPAL,S/D,S/D,25/11/2013
184,23,MUJER,PRINCIPAL,Buenos Aires,OTROS,25/05/2015
183,33,MUJER,PRINCIPAL,Buenos Aires,OTROS - GOLPES,02/06/2013
182,39,MUJER,PRINCIPAL,Neuquen,DISPARO DE BALA,22/02/2013
181,41,S/D,PRINCIPAL,Santa Fe,QUEMADURAS,12/12/2014
180,19,MUJER,PRINCIPAL,Salta,ESTRANGULAMIENTO - GOLPES,13/07/2014
179,22,MUJER,PRINCIPAL,Corrientes,GOLPES,09/04/2015
178,52,MUJER,PRINCIPAL,Chaco,QUEMADURAS - GOLPES,22/05/2013
176,47,MUJER,PRINCIPAL,Córdoba,ACUCHILLAMIENTO,08/02/2013
175,22,MUJER,PRINCIPAL,Salta,S/D,04/05/2014
174,21,S/D,PRINCIPAL,Salta,QUEMADURAS,06/07/2015
172,31,MUJER,PRINCIPAL,Santiago del Estero,OTROS - ACUCHILLAMIENTO,13/07/2015
171,32,MUJER,PRINCIPAL,Chaco,OTROS - QUEMADURAS - GOLPES,01/05/2015
170,26,MUJER,PRINCIPAL,Rio Negro,S/D,10/04/2015
169,27,MUJER,PRINCIPAL,Buenos Aires,OTROS - GOLPES - ACUCHILLAMIENTO,01/03/2015
168,44,S/D,PRINCIPAL,Corrientes,ACUCHILLAMIENTO,15/03/2015
165,29,MUJER,PRINCIPAL,Buenos Aires,ESTRANGULAMIENTO,17/01/2015
164,23,MUJER,PRINCIPAL,Santa Fe,ACUCHILLAMIENTO,21/01/2015
163,18,MUJER,PRINCIPAL,Santa Fe,ESTRANGULAMIENTO,13/02/2015
162,36,MUJER,PRINCIPAL,Santa Fe,S/D,05/01/2015
161,23,MUJER,PRINCIPAL,Neuquen,DESBARRANCAMIENTO,04/04/2015
160,32,MUJER,PRINCIPAL,Ciudad de Buenos Aires,DISPARO DE BALA,15/04/2015
159,39,MUJER,PRINCIPAL,Neuquen,DISPARO DE BALA,14/06/2014
157,55,HOMBRE,VINCULADO,La Pampa,DISPARO DE BALA,12/07/2015
157,49,MUJER,PRINCIPAL,La Pampa,DISPARO DE BALA,12/07/2015
154,53,MUJER,PRINCIPAL,Jujuy,S/D,29/05/2015
140,34,MUJER,PRINCIPAL,Córdoba,ACUCHILLAMIENTO - ACUCHILLAMIENTO,09/01/2015
152,24,MUJER,PRINCIPAL,Ciudad de Buenos Aires,ESTRANGULAMIENTO,04/05/2015
151,16,MUJER,PRINCIPAL,Buenos Aires,OTROS - ASFIXIA,16/11/2014
150,26,MUJER,PRINCIPAL,Ciudad de Buenos Aires,ACUCHILLAMIENTO,09/04/2015
149,65,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,10/04/2014
148,35,MUJER,PRINCIPAL,Salta,ACUCHILLAMIENTO,04/12/2014
147,50,MUJER,PRINCIPAL,Córdoba,DISPARO DE BALA,10/04/2015
146,43,MUJER,PRINCIPAL,Córdoba,OTROS - GOLPES - ACUCHILLAMIENTO,30/03/2015
145,40,MUJER,PRINCIPAL,Buenos Aires,ESTRANGULAMIENTO - GOLPES - ACUCHILLAMIENTO,08/07/2015
144,21,MUJER,PRINCIPAL,Córdoba,DISPARO DE BALA,17/03/2013
143,35,MUJER,PRINCIPAL,Córdoba,ESTRANGULAMIENTO,11/03/2015
142,51,MUJER,PRINCIPAL,Córdoba,ESTRANGULAMIENTO - ASFIXIA,03/02/2015
141,36,MUJER,PRINCIPAL,Córdoba,ACUCHILLAMIENTO,28/12/2014
139,42,MUJER,PRINCIPAL,Córdoba,GOLPES,29/06/2014
138,41,MUJER,PRINCIPAL,Córdoba,ACUCHILLAMIENTO,23/02/2015
130,S/D,MUJER,PRINCIPAL,Formosa,QUEMADURAS,07/06/2015
129,44,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,14/08/2014
128,49,S/D,PRINCIPAL,S/D,ACUCHILLAMIENTO,02/05/2015
126,15,HOMBRE,VINCULADO,Chubut,DISPARO DE BALA,23/11/2014
127,22,MUJER,PRINCIPAL,Salta,GOLPES,02/07/2015
126,17,MUJER,VINCULADO,Chubut,DISPARO DE BALA,23/11/2014
125,48,MUJER,PRINCIPAL,Chubut,DISPARO DE BALA,23/11/2014
124,31,MUJER,PRINCIPAL,Buenos Aires,QUEMADURAS,08/02/2013
123,17,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,01/07/2015
122,23,MUJER,PRINCIPAL,Entre Rios,DISPARO DE BALA,01/04/2014
121,39,TRAVESTI,PRINCIPAL,Buenos Aires,S/D,S/D
120,23,MUJER,PRINCIPAL,Santa Fe,S/D,04/11/2014
119,27,MUJER,PRINCIPAL,Santa Fe,QUEMADURAS,30/03/2013
118,20,MUJER,PRINCIPAL,Salta,ASFIXIA,08/11/2014
117,45,MUJER,PRINCIPAL,Salta,DISPARO DE BALA,30/12/2012
116,32,MUJER,PRINCIPAL,Entre Rios,S/D,02/11/2014
115,38,S/D,PRINCIPAL,Entre Rios,ACUCHILLAMIENTO,31/07/2014
114,36,S/D,PRINCIPAL,Entre Rios,DISPARO DE BALA,03/07/2014
113,25,MUJER,PRINCIPAL,Entre Rios,AHORCAMIENTO - ESTRANGULAMIENTO,18/05/2014
112,47,MUJER,PRINCIPAL,Entre Rios,AHORCAMIENTO,27/02/2014
111,30,MUJER,PRINCIPAL,Entre Rios,ACUCHILLAMIENTO,10/04/2014
110,24,MUJER,PRINCIPAL,Entre Rios,ACUCHILLAMIENTO,10/03/2014
109,20,MUJER,PRINCIPAL,Buenos Aires,GOLPES,27/06/2015
108,16,MUJER,PRINCIPAL,Corrientes,ASFIXIA,21/05/2015
107,31,MUJER,PRINCIPAL,Corrientes,GOLPES,14/05/2013
106,52,S/D,PRINCIPAL,Corrientes,QUEMADURAS,02/12/2013
105,51,MUJER,PRINCIPAL,Córdoba,ACUCHILLAMIENTO,21/05/2015
104,35,MUJER,PRINCIPAL,Córdoba,DISPARO DE BALA,26/09/2013
102,44,MUJER,PRINCIPAL,Córdoba,ACUCHILLAMIENTO,15/04/2014
101,34,MUJER,PRINCIPAL,Córdoba,S/D,19/05/2014
100,51,MUJER,PRINCIPAL,Córdoba,ACUCHILLAMIENTO,18/01/2014
98,35,MUJER,PRINCIPAL,Córdoba,DISPARO DE BALA,26/01/2014
97,24,MUJER,PRINCIPAL,Córdoba,DISPARO DE BALA,24/03/2013
96,21,MUJER,PRINCIPAL,Córdoba,QUEMADURAS,01/01/2013
95,38,MUJER,PRINCIPAL,Chaco,ACUCHILLAMIENTO,26/06/2015
94,19,MUJER,PRINCIPAL,Ciudad de Buenos Aires,ASFIXIA,14/03/2015
93,34,MUJER,PRINCIPAL,Ciudad de Buenos Aires,S/D,09/02/2013
91,26,MUJER,PRINCIPAL,Ciudad de Buenos Aires,S/D,16/03/2015
90,43,S/D,PRINCIPAL,Buenos Aires,GOLPES - ACUCHILLAMIENTO,29/05/2015
89,18,MUJER,PRINCIPAL,Buenos Aires,ASFIXIA - DESBARRANCAMIENTO - GOLPES,23/05/2015
88,28,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,19/02/2014
87,15,MUJER,PRINCIPAL,Buenos Aires,S/D,23/07/2014
86,22,MUJER,PRINCIPAL,Buenos Aires,QUEMADURAS - DISPARO DE BALA,03/07/2014
85,38,MUJER,PRINCIPAL,Buenos Aires,QUEMADURAS - ESTRANGULAMIENTO - GOLPES - ACUCHILLAMIENTO,20/07/2013
84,22,MUJER,PRINCIPAL,Buenos Aires,QUEMADURAS,23/02/2015
81,S/D,MUJER,PRINCIPAL,Chubut,DISPARO DE BALA,08/09/2013
80,25,MUJER,PRINCIPAL,Chubut,DISPARO DE BALA,21/06/2013
79,S/D,S/D,PRINCIPAL,Chubut,APUÑALAMIENTO,27/01/2013
78,16,MUJER,PRINCIPAL,Ciudad de Buenos Aires,AHORCAMIENTO - ASFIXIA - GOLPES ,10/06/2013
76,26,MUJER,PRINCIPAL,Rio Negro,S/D,28/12/2014
74,34,MUJER,PRINCIPAL,Buenos Aires,S/D,06/07/2013
73,25,MUJER,PRINCIPAL,Santa Fe,QUEMADURAS,01/04/2013
69,49,MUJER,PRINCIPAL,Buenos Aires,ESTRANGULAMIENTO - DISPARO DE BALA,23/11/2013
68,38,MUJER,PRINCIPAL,Buenos Aires,S/D,14/04/2014
67,42,MUJER,PRINCIPAL,Santiago del Estero,DISPARO DE BALA,06/06/2015
62,14,MUJER,PRINCIPAL,Santa Fe,GOLPES - DEGOLLAMIENTO,10/05/2015
60,53,MUJER,PRINCIPAL,Buenos Aires,S/D,29/05/2013
59,30,MUJER,PRINCIPAL,Buenos Aires,S/D,11/04/2015
58,27,MUJER,PRINCIPAL,Buenos Aires,S/D,14/04/2015
57,25,MUJER,PRINCIPAL,Jujuy,S/D,05/04/2014
54,15,MUJER,PRINCIPAL,Buenos Aires,S/D,07/09/2013
53,19,MUJER,PRINCIPAL,Buenos Aires,ESTRANGULAMIENTO,30/09/2013
51,38,MUJER,PRINCIPAL,Salta,ESTRANGULAMIENTO - GOLPES,08/09/2014
50,17,MUJER,PRINCIPAL,S/D,S/D,09/09/2014
49,38,MUJER,PRINCIPAL,Tucuman,S/D,30/09/2014
47,58,MUJER,PRINCIPAL,Santa Fe,APUÑALAMIENTO,23/02/2015
45,47,MUJER,PRINCIPAL,Salta,GOLPES,25/07/2014
44,S/D,MUJER,PRINCIPAL,Salta,S/D,05/10/2014
43,21,MUJER,VINCULADO,Misiones,S/D,05/01/2014
42,22,MUJER,VINCULADO,Misiones,ATROPELLAMIENTO,05/01/2014
40,8,HOMBRE,VINCULADO,Mendoza,DISPARO DE BALA,21/09/2014
38,22,MUJER,PRINCIPAL,Entre Rios,ASFIXIA - GOLPES,24/10/2014
37,34,MUJER,PRINCIPAL,Entre Rios,GOLPES,21/05/2012
36,10,HOMBRE,VINCULADO,Entre Rios,DISPARO DE BALA,28/09/2014
35,32,MUJER,PRINCIPAL,Corrientes,S/D,06/09/2014
34,31,MUJER,PRINCIPAL,Córdoba,S/D,15/01/2015
33,29,MUJER,PRINCIPAL,Córdoba,S/D,16/02/2014
32,S/D,MUJER,PRINCIPAL,Córdoba,S/D,16/05/2014
31,41,MUJER,PRINCIPAL,Córdoba,ACUCHILLAMIENTO,23/07/2014
30,40,MUJER,PRINCIPAL,Córdoba,S/D,02/12/2014
29,34,MUJER,PRINCIPAL,Córdoba,S/D,28/01/2015
27,33,MUJER,PRINCIPAL,Córdoba,ACUCHILLAMIENTO,20/10/2014
26,S/D,MUJER,PRINCIPAL,Córdoba,S/D,20/10/2014
22,33,MUJER,PRINCIPAL,Córdoba,S/D,11/12/2014
21,36,MUJER,PRINCIPAL,Córdoba,GOLPES - ACUCHILLAMIENTO,21/09/2014
20,34,MUJER,PRINCIPAL,Córdoba,ACUCHILLAMIENTO,18/09/2014
19,33,MUJER,PRINCIPAL,Chaco,OTROS - ACUCHILLAMIENTO,09/10/2014
18,44,MUJER,PRINCIPAL,Ciudad de Buenos Aires,S/D,24/02/2015
17,19,MUJER,VINCULADO,Ciudad de Buenos Aires,S/D,24/02/2015
15,21,MUJER,PRINCIPAL,Buenos Aires,S/D,06/01/2015
14,S/D,MUJER,PRINCIPAL,Buenos Aires,S/D,23/02/2015
13,18,MUJER,PRINCIPAL,Buenos Aires,GOLPES,09/01/2015
12,19,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,14/01/2015
11,38,MUJER,PRINCIPAL,Buenos Aires,ESTRANGULAMIENTO - ASFIXIA,16/01/2014
10,26,MUJER,PRINCIPAL,Buenos Aires,S/D,20/03/2015
9,7,MUJER,VINCULADO,Buenos Aires,ACUCHILLAMIENTO,04/09/2014
8,45,MUJER,PRINCIPAL,Mendoza,DISPARO DE BALA,14/08/2014
7,16,MUJER,PRINCIPAL,Buenos Aires,ASFIXIA,23/08/2014
6,39,MUJER,PRINCIPAL,Buenos Aires,S/D,25/09/2014
5,49,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA - OTROS,18/05/2014
4,26,MUJER,PRINCIPAL,Santiago del Estero,DISPARO DE BALA,13/08/2014
3,23,MUJER,PRINCIPAL,Catamarca,APUÑALAMIENTO - GOLPES,05/03/2013
2,32,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,27/03/2014
